key,player_of_match
bpl0001,Ahmed Shehzad
bpl0002,Nasir Jamshed
bpl0003,Azhar Mahmood
bpl0004,MN Samuels
bpl0005,Nasir Jamshed
bpl0006,Saqlain Sajib
bpl0007,AD Russell
bpl0008,BJ Hodge
bpl0009,S Chanderpaul
bpl0010,Junaid Siddique
bpl0011,Mominul Haque
bpl0012,Sohail Tanvir
bpl0013,DJ Bravo
bpl0014,PD Trego
bpl0015,SM Ervine
bpl0016,Mohammad Sami
bpl0017,Imran Nazir
bpl0018,PR Stirling
bpl0019,OA Shah
bpl0020,SM Ervine
bpl0021,E Chigumbura
bpl0022,BJ Hodge
bpl0023,Shakib Al Hasan
bpl0024,H Masakadza
bpl0025,Shamsur Rahman
bpl0026,Shahriar Nafees
bpl0027,RS Bopara
bpl0028,DJ Harris
bpl0029,Mushfiqur Rahim
bpl0030,CK Coventry
bpl0031,FH Edwards
bpl0032,Azhar Mahmood
bpl0033,Nazmul Hossain Milon
bpl0034,AC Thomas
bpl0035,Naeem Islam
bpl0036,Jahurul Islam
bpl0037,Azhar Mahmood
bpl0038,Tamim Iqbal
bpl0039,Anamul Haque
bpl0040,Shamsur Rahman
bpl0041,RN ten Doeschate
bpl0042,Shahriar Nafees
bpl0043,Shakib Al Hasan
bpl0044,DP Hyatt
bpl0045,KJ O'Brien
bpl0046,Mohammad Ashraful
bpl0047,BJ Hodge
bpl0048,PR Stirling
bpl0049,PR Stirling
bpl0050,JJ Roy
bpl0051,Shakib Al Hasan
bpl0052,Hamid Hassan
bpl0053,CH Gayle
bpl0054,RN ten Doeschate
bpl0055,Mosharraf Hossain
bpl0056,Abul Hasan
bpl0057,KK Cooper
bpl0058,Al-Amin Hossain
bpl0059,Mashrafe Mortaza
bpl0060,KMDN Kulasekara
bpl0061,Shakib Al Hasan
bpl0062,Shadman Islam
bpl0063,Shakib Al Hasan
bpl0064,KC Sangakkara
bpl0065,MN Samuels
bpl0066,RS Bopara
bpl0067,KK Cooper
bpl0068,E Lewis
bpl0069,Soumya Sarkar
bpl0070,TM Dilshan
bpl0071,Ashar Zaidi
bpl0072,Al-Amin Hossain
bpl0073,Jahurul Islam
bpl0074,Junaid Siddique
bpl0075,Arafat Sunny
bpl0076,Ahmed Shehzad
bpl0077,Jahurul Islam
bpl0078,Mosharraf Hossain
bpl0079,CH Gayle
bpl0080,RS Bopara
bpl0081,RR Emrit
bpl0082,Ahmed Shehzad
bpl0083,Al-Amin Hossain
bpl0084,Ashar Zaidi
bpl0085,Sabbir Rahman
bpl0086,Alok Kapali
bpl0087,Mohammad Nabi
bpl0088,Mehedi Maruf
bpl0089,Mohammad Shahzad
bpl0090,Mahmudullah
bpl0091,Shahid Afridi
bpl0092,SR Patel
bpl0093,NLTC Perera
bpl0094,Mosaddek Hossain
bpl0095,Mahmudullah
bpl0096,Shafiul Islam
bpl0097,Sabbir Rahman
bpl0098,Mehedi Maruf
bpl0099,DJ Malan
bpl0100,Mohammad Mithun
bpl0101,Mohammad Shahid
bpl0102,Mohammad Shahzad
bpl0103,Mohammad Nabi
bpl0104,Sohail Tanvir
bpl0105,Mosharraf Hossain
bpl0106,Mahmudullah
bpl0107,Mohammad Nabi
bpl0108,SR Patel
bpl0109,Shoaib Malik
bpl0110,Shahid Afridi
bpl0111,Shuvagata Hom
bpl0112,DJG Sammy
bpl0113,DJG Sammy
bpl0114,Shakib Al Hasan
bpl0115,Tamim Iqbal
bpl0116,Shakib Al Hasan
bpl0117,Mehedi Hasan Miraz
bpl0118,Tamim Iqbal
bpl0119,Nabil Samad
bpl0120,E Lewis
bpl0121,Mohammad Saifuddin
bpl0122,RR Emrit
bpl0123,DJ Bravo
bpl0124,Afif Hossain
bpl0125,Mohammad Shahzad
bpl0126,Mahmudullah
bpl0127,Rashid Khan
bpl0128,AD Russell
bpl0129,DJG Sammy
bpl0130,SR Patel
bpl0131,KC Sangakkara
bpl0132,RS Bopara
bpl0133,WU Tharanga
bpl0134,CS Delport
bpl0135,WU Tharanga
bpl0136,MD Gunathilaka
bpl0137,Mohammad Saifuddin
bpl0138,Mahmudullah
bpl0139,Taskin Ahmed
bpl0140,Shahid Afridi
bpl0141,Mominul Haque
bpl0142,Rashid Khan
bpl0143,Abu Jayed
bpl0144,Imrul Kayes
bpl0145,Jahurul Islam
bpl0146,RR Rossouw
bpl0147,Zakir Hasan
bpl0148,Mahedi Hasan
bpl0149,E Lewis
bpl0150,CH Gayle
bpl0151,Hasan Ali
bpl0152,CH Gayle
bpl0153,Ariful Haque
bpl0154,Sikandar Raza
bpl0155,Mahmudullah
bpl0156,Mashrafe Mortaza
bpl0157,DJG Sammy
bpl0158,N Pooran
bpl0159,E Lewis
bpl0160,Shoaib Malik
bpl0161,Nazmul Islam
bpl0162,DJ Bravo
bpl0163,DJG Sammy
bpl0164,SP Narine
bpl0165,Mahedi Hasan
bpl0166,Mohammad Mithun
bpl0167,Nasir Hossain
bpl0168,LM Reece
bpl0169,Ariful Haque
bpl0170,Liton Das
bpl0171,Shakib Al Hasan
bpl0172,Shahid Afridi
bpl0173,CH Gayle
bpl0174,J Charles
bpl0175,CH Gayle
bpl0176,Hazratullah
bpl0177,R Frylinck
bpl0178,RR Rossouw
bpl0179,Shahid Afridi
bpl0180,Mashrafe Mortaza
bpl0181,Hazratullah
bpl0182,I Udana
bpl0183,N Pooran
bpl0184,Shahid Afridi
bpl0185,Al Islam
bpl0186,Rony Talukdar
bpl0187,R Frylinck
bpl0188,Mushfiqur Rahim
bpl0189,Mahedi Hasan
bpl0190,Taijul Islam
bpl0191,Liton Das
bpl0192,Arafat Sunny
bpl0193,Tamim Iqbal
bpl0194,Shakib Al Hasan
bpl0195,Mushfiqur Rahim
bpl0196,RR Rossouw
bpl0197,R Frylinck
bpl0198,LJ Evans
bpl0199,NLTC Perera
bpl0200,Farhad Reza
bpl0201,D Wiese
bpl0202,Mushfiqur Rahim
bpl0203,AD Hales
bpl0204,Sohail Tanvir
bpl0205,Mustafizur Rahman
bpl0206,Mohammad Nawaz (3)
bpl0207,AB de Villiers
bpl0208,E Lewis
bpl0209,Farhad Reza
bpl0210,Shahid Afridi
bpl0211,LJ Evans
bpl0212,CS Delport
bpl0213,Ebadat Hossain
bpl0214,Mohammad Saifuddin
bpl0215,WU Tharanga
bpl0216,RS Bopara
bpl0217,E Lewis
bpl0218,SP Narine
bpl0219,Rubel Hossain
bpl0220,Tamim Iqbal
bpl0221,MD Shanaka
bpl0222,Imrul Kayes
bpl0223,RR Rossouw
bpl0224,RS Bopara
bpl0225,NLTC Perera
bpl0226,Alok Kapali
bpl0227,Anamul Haque
bpl0228,Mohammad Naim
bpl0229,Mehedi Hasan Rana
bpl0230,Mushfiqur Rahim
bpl0231,Mehedi Hasan Rana
bpl0232,DJ Malan
bpl0233,CAK Walton
bpl0234,Shafiul Islam
bpl0235,L Gregory
bpl0236,ADS Fletcher
bpl0237,AD Russell
bpl0238,Mahedi Hasan
bpl0239,DJ Malan
bpl0239,Afif Hossain
bpl0240,Mahedi Hasan
bpl0241,Shohidul Islam
bpl0242,Imrul Kayes
bpl0243,Mehedi Hasan Miraz
bpl0244,Shoaib Malik
bpl0245,Wahab Riaz
bpl0246,Mustafizur Rahman
bpl0247,L Gregory
bpl0248,DJ Malan
bpl0249,Mujeeb Ur Rahman
bpl0250,RS Bopara
bpl0251,SR Watson
bpl0252,Hasan Mahmud
bpl0253,Afif Hossain
bpl0254,Mehedi Hasan Rana
bpl0255,Imrul Kayes
bpl0256,DJ Malan
bpl0257,Shadab Khan
bpl0258,R Frylinck
bpl0259,Mushfiqur Rahim
bpl0260,L Gregory
bpl0261,Nazmul Hossain Shanto
bpl0262,Liton Das
bpl0263,Mohammad Amir
bpl0264,RR Emrit
bpl0265,AD Russell
bpl0266,AD Russell
bpl0267,Rony Talukdar
bpl0268,Mehedi Hasan Miraz
bpl0269,Nasum Ahmed
bpl0270,Nahidul Islam
bpl0271,BAC Howell
bpl0272,Mahmudullah
bpl0273,Nahidul Islam
bpl0274,Nazmul Islam
bpl0275,Tamim Iqbal
bpl0276,ADS Fletcher
bpl0277,Mrittunjoy Chowdhury
bpl0278,Mehedi Hasan Rana
bpl0279,Shakib Al Hasan
bpl0280,F du Plessis
bpl0281,Shakib Al Hasan
bpl0282,Mahmudullah
bpl0283,Mustafizur Rahman
bpl0284,ADS Fletcher
bpl0285,Soumya Sarkar
bpl0286,Shakib Al Hasan
bpl0287,Shakib Al Hasan
bpl0288,Shamim Hossain
bpl0289,Mahmudul Hasan Joy
bpl0290,Arafat Sunny
bpl0291,Shakib Al Hasan
bpl0292,MM Ali
bpl0293,ADS Fletcher
bpl0294,WG Jacks
bpl0295,Mehedi Hasan Rana
bpl0296,CAK Walton
bpl0297,SP Narine
bpl0298,SP Narine
bpl0299,Rony Talukdar
bpl0300,Rejaur Rahman
bpl0301,Towhid Hridoy
bpl0302,Nasir Hossain
bpl0303,Usman Khan (2)
bpl0304,Towhid Hridoy
bpl0305,Towhid Hridoy
bpl0306,Mehedi Hasan Miraz
bpl0307,Robiul Haque
bpl0308,Iftikhar Ahmed
bpl0309,Afif Hossain
bpl0310,Shakib Al Hasan
bpl0311,Liton Das
bpl0312,Imad Wasim
bpl0313,Liton Das
bpl0314,Wahab Riaz
bpl0315,Iftikhar Ahmed
bpl0316,Khushdil Shah
bpl0317,Iftikhar Ahmed
bpl0318,Mahmudul Hasan Joy
bpl0319,Khushdil Shah
bpl0320,Shoaib Malik
bpl0321,Taskin Ahmed
bpl0322,Nazmul Hossain Shanto
bpl0323,Anamul Haque
bpl0324,Azmatullah Omarzai
bpl0325,Nazmul Hossain Shanto
bpl0326,Mohammad Rizwan
