winner,by.runs,key,by.wickets,method,result,eliminator
Barisal Burners,22.0,bpl00001,,,,
Chittagong Kings,,bpl00002,6.0,,,
Dhaka Gladiators,21.0,bpl00003,,,,
Duronto Rajshahi,16.0,bpl00004,,,,
Chittagong Kings,,bpl00005,8.0,,,
Khulna Royal Bengals,2.0,bpl00006,,,,
Duronto Rajshahi,9.0,bpl00007,,,,
Khulna Royal Bengals,,bpl00008,7.0,,,
Barisal Burners,,bpl00009,9.0,,,
Duronto Rajshahi,,bpl00010,9.0,,,
Barisal Burners,,bpl00011,4.0,,,
Chittagong Kings,13.0,bpl00012,,,,
Sylhet Royals,,bpl00013,9.0,,,
Sylhet Royals,35.0,bpl00014,,,,
Duronto Rajshahi,,bpl00015,8.0,,,
Duronto Rajshahi,,bpl00016,3.0,,,
Dhaka Gladiators,,bpl00017,8.0,,,
Sylhet Royals,33.0,bpl00018,,,,
Dhaka Gladiators,62.0,bpl00019,,,,
Duronto Rajshahi,2.0,bpl00020,,,,
Barisal Burners,,bpl00021,8.0,,,
Sylhet Royals,,bpl00022,4.0,,,
Dhaka Gladiators,13.0,bpl00023,,,,
Rangpur Riders,7.0,bpl00024,,,,
Sylhet Royals,,bpl00025,6.0,,,
Chittagong Kings,21.0,bpl00026,,,,
Khulna Royal Bengals,68.0,bpl00027,,,,
Khulna Royal Bengals,9.0,bpl00028,,,,
Sylhet Royals,,bpl00029,7.0,,,
Duronto Rajshahi,4.0,bpl00030,,,,
Rangpur Riders,33.0,bpl00031,,,,
Sylhet Royals,,bpl00032,5.0,,,
Barisal Burners,6.0,bpl00033,,,,
Dhaka Gladiators,13.0,bpl00034,,,,
Duronto Rajshahi,,bpl00035,4.0,,,
Chittagong Kings,54.0,bpl00036,,,,
Duronto Rajshahi,,bpl00037,7.0,,,
Barisal Burners,,bpl00038,7.0,,,
Dhaka Gladiators,88.0,bpl00039,,,,
Sylhet Royals,,bpl00040,6.0,,,
Chittagong Kings,89.0,bpl00041,,,,
Khulna Royal Bengals,,bpl00042,7.0,,,
Rangpur Riders,,bpl00043,5.0,,,
Dhaka Gladiators,,bpl00044,8.0,,,
Dhaka Gladiators,,bpl00045,6.0,,,
Rangpur Riders,19.0,bpl00046,,,,
Sylhet Royals,61.0,bpl00047,,,,
Barisal Burners,,bpl00048,7.0,,,
Chittagong Kings,33.0,bpl00049,,,,
Sylhet Royals,,bpl00050,1.0,,,
Dhaka Gladiators,29.0,bpl00051,,,,
Barisal Burners,26.0,bpl00052,,,,
Dhaka Gladiators,4.0,bpl00053,,,,
Chittagong Kings,,bpl00054,3.0,,,
Dhaka Gladiators,43.0,bpl00055,,,,
Dhaka Dynamites,,bpl00056,6.0,,,
Barisal Bulls,13.0,bpl00057,,,,
Comilla Victorians,,bpl00058,7.0,,,
Barisal Bulls,1.0,bpl00059,,,,
Rangpur Riders,69.0,bpl00060,,,,
Comilla Victorians,,bpl00061,8.0,,,
Rangpur Riders,6.0,bpl00062,,,,
Dhaka Dynamites,,bpl00063,6.0,,,
Dhaka Dynamites,34.0,bpl00064,,,,
Comilla Victorians,,bpl00065,9.0,,,
Sylhet Super Stars,,bpl00066,4.0,,,
Barisal Bulls,33.0,bpl00067,,,,
Rangpur Riders,,bpl00068,9.0,,,
Barisal Bulls,,bpl00069,9.0,,,
Comilla Victorians,10.0,bpl00070,,,,
Chittagong Vikings,,bpl00071,10.0,,,
Barisal Bulls,,bpl00072,6.0,D/L,,
Sylhet Super Stars,,bpl00073,9.0,,,
Rangpur Riders,,bpl00074,6.0,,,
Rangpur Riders,,bpl00075,8.0,,,
Comilla Victorians,,bpl00076,7.0,,,
Dhaka Dynamites,45.0,bpl00077,,,,
Rangpur Riders,21.0,bpl00078,,,,
Sylhet Super Stars,,bpl00079,6.0,,,
Barisal Bulls,,bpl00080,8.0,,,
Comilla Victorians,71.0,bpl00081,,,,
Barisal Bulls,,bpl00082,2.0,,,
Comilla Victorians,72.0,bpl00083,,,,
Barisal Bulls,18.0,bpl00084,,,,
Barisal Bulls,,bpl00085,5.0,,,
Comilla Victorians,,bpl00086,3.0,,,
Chittagong Vikings,29.0,bpl00087,,,,
Dhaka Dynamites,,bpl00088,8.0,,,
Rangpur Riders,,bpl00089,9.0,,,
Khulna Titans,3.0,bpl00090,,,,
Rangpur Riders,,bpl00091,9.0,,,
Barisal Bulls,,bpl00092,6.0,,,
Rajshahi Kings,,bpl00093,6.0,,,
Khulna Titans,4.0,bpl00094,,,,
Dhaka Dynamites,78.0,bpl00095,,,,
Barisal Bulls,4.0,bpl00096,,,,
Khulna Titans,13.0,bpl00097,,,,
Barisal Bulls,,bpl00098,7.0,,,
Dhaka Dynamites,33.0,bpl00099,,,,
Rangpur Riders,12.0,bpl00100,,,,
Dhaka Dynamites,19.0,bpl00101,,,,
Chittagong Vikings,19.0,bpl00102,,,,
Rangpur Riders,,bpl00103,9.0,,,
Khulna Titans,9.0,bpl00104,,,,
Comilla Victorians,32.0,bpl00105,,,,
Khulna Titans,22.0,bpl00106,,,,
Chittagong Vikings,,bpl00107,6.0,,,
Rajshahi Kings,,bpl00108,3.0,,,
Rangpur Riders,,bpl00109,7.0,,,
Chittagong Vikings,78.0,bpl00110,,,,
Rajshahi Kings,12.0,bpl00111,,,,
Khulna Titans,,bpl00112,6.0,,,
Dhaka Dynamites,32.0,bpl00113,,,,
Rajshahi Kings,9.0,bpl00114,,,,
Chittagong Vikings,,bpl00115,9.0,,,
Dhaka Dynamites,,bpl00116,4.0,,,
Rajshahi Kings,49.0,bpl00117,,,,
Comilla Victorians,,bpl00118,8.0,,,
Chittagong Vikings,,bpl00119,5.0,,,
Comilla Victorians,,bpl00120,8.0,,,
Dhaka Dynamites,42.0,bpl00121,,,,
Barisal Bulls,17.0,bpl00122,,,,
Dhaka Dynamites,,bpl00123,6.0,,,
Rangpur Riders,29.0,bpl00124,,,,
Rajshahi Kings,,bpl00125,6.0,,,
Khulna Titans,,bpl00126,6.0,,,
Comilla Victorians,8.0,bpl00127,,,,
Rajshahi Kings,,bpl00128,3.0,,,
Dhaka Dynamites,54.0,bpl00129,,,,
Rajshahi Kings,,bpl00130,7.0,,,
Dhaka Dynamites,56.0,bpl00131,,,,
Sylhet Sixers,,bpl00132,9.0,,,
Rangpur Riders,,bpl00133,6.0,,,
Sylhet Sixers,,bpl00134,4.0,,,
Dhaka Dynamites,65.0,bpl00135,,,,
Comilla Victorians,,bpl00136,8.0,,,
Sylhet Sixers,33.0,bpl00137,,,,
Khulna Titans,,bpl00138,6.0,,,
Chittagong Vikings,11.0,bpl00139,,,,
Dhaka Dynamites,,bpl00140,8.0,,,
Rajshahi Kings,,bpl00141,8.0,,,
Khulna Titans,18.0,bpl00142,,,,
Comilla Victorians,,bpl00143,9.0,,,
Dhaka Dynamites,,bpl00144,4.0,,,
Comilla Victorians,,bpl00145,6.0,,,
Rajshahi Kings,,bpl00146,7.0,,,
Khulna Titans,,bpl00147,5.0,,,
Dhaka Dynamites,68.0,bpl00148,,,,
Comilla Victorians,14.0,bpl00149,,,,
Rangpur Riders,7.0,bpl00150,,,,
Comilla Victorians,,bpl00151,4.0,,,
Khulna Titans,,bpl00152,2.0,,,
Rangpur Riders,3.0,bpl00153,,,,
Khulna Titans,9.0,bpl00154,,,,
Chittagong Vikings,40.0,bpl00155,,,,
Rajshahi Kings,30.0,bpl00156,,,,
Rangpur Riders,,bpl00157,3.0,,,
Dhaka Dynamites,,bpl00158,7.0,,,
Khulna Titans,68.0,bpl00159,,,,
Rangpur Riders,,bpl00160,4.0,,,
Comilla Victorians,,bpl00161,9.0,,,
Rajshahi Kings,33.0,bpl00162,,,,
Comilla Victorians,12.0,bpl00163,,,,
Dhaka Dynamites,99.0,bpl00164,,,,
Comilla Victorians,,bpl00165,4.0,,,
Rangpur Riders,19.0,bpl00166,,,,
Sylhet Sixers,,bpl00167,10.0,,,
Khulna Titans,14.0,bpl00168,,,,
Chittagong Vikings,45.0,bpl00169,,,,
Dhaka Dynamites,43.0,bpl00170,,,,
Comilla Victorians,25.0,bpl00171,,,,
Rangpur Riders,,bpl00172,8.0,,,
Dhaka Dynamites,95.0,bpl00173,,,,
Rangpur Riders,36.0,bpl00174,,,,
Rangpur Riders,57.0,bpl00175,,,,
Dhaka Dynamites,83.0,bpl00176,,,,
Chittagong Vikings,,bpl00177,3.0,,,
Comilla Victorians,,bpl00178,4.0,,,
Rangpur Riders,8.0,bpl00179,,,,
Dhaka Dynamites,105.0,bpl00180,,,,
Rangpur Riders,,bpl00181,9.0,,,
Sylhet Sixers,5.0,bpl00182,,,,
Rajshahi Kings,,bpl00183,7.0,,,
Dhaka Dynamites,2.0,bpl00184,,,,
Comilla Victorians,,bpl00185,5.0,,,
,,bpl00186,,,tie,Chittagong Vikings
Dhaka Dynamites,32.0,bpl00187,,,,
Chittagong Vikings,,bpl00188,4.0,,,
Comilla Victorians,,bpl00189,8.0,,,
Khulna Titans,25.0,bpl00190,,,,
Rajshahi Kings,20.0,bpl00191,,,,
Sylhet Sixers,27.0,bpl00192,,,,
Dhaka Dynamites,,bpl00193,6.0,,,
Comilla Victorians,,bpl00194,3.0,,,
Rangpur Riders,,bpl00195,4.0,,,
Chittagong Vikings,26.0,bpl00196,,,,
Rajshahi Kings,38.0,bpl00197,,,,
Chittagong Vikings,,bpl00198,3.0,,,
Rangpur Riders,,bpl00199,6.0,,,
Comilla Victorians,7.0,bpl00200,,,,
Chittagong Vikings,,bpl00201,6.0,,,
Khulna Titans,21.0,bpl00202,,,,
Sylhet Sixers,76.0,bpl00203,,,,
Rangpur Riders,72.0,bpl00204,,,,
Sylhet Sixers,58.0,bpl00205,,,,
Rajshahi Kings,7.0,bpl00206,,,,
Comilla Victorians,80.0,bpl00207,,,,
Rangpur Riders,,bpl00208,8.0,,,
Comilla Victorians,,bpl00209,7.0,D/L,,
Rangpur Riders,,bpl00210,6.0,,,
Chittagong Vikings,11.0,bpl00211,,,,
Rajshahi Kings,,bpl00212,5.0,,,
Comilla Victorians,1.0,bpl00213,,,,
Sylhet Sixers,29.0,bpl00214,,,,
Rangpur Riders,,bpl00215,9.0,,,
Dhaka Dynamites,,bpl00216,6.0,,,
Comilla Victorians,,bpl00217,8.0,,,
Dhaka Dynamites,,bpl00218,6.0,,,
Dhaka Dynamites,,bpl00219,5.0,,,
Comilla Victorians,17.0,bpl00220,,,,
Chattogram Challengers,,bpl00221,5.0,,,
Cumilla Warriors,105.0,bpl00222,,,,
Rajshahi Royals,,bpl00223,9.0,,,
Khulna Tigers,,bpl00224,8.0,,,
Rajshahi Royals,,bpl00225,8.0,,,
Dhaka Platoon,20.0,bpl00226,,,,
Dhaka Platoon,24.0,bpl00227,,,,
Chattogram Challengers,,bpl00228,6.0,,,
Khulna Tigers,,bpl00229,5.0,,,
Chattogram Challengers,,bpl00230,4.0,,,
Cumilla Warriors,,bpl00231,6.0,,,
Chattogram Challengers,16.0,bpl00232,,,,
Khulna Tigers,,bpl00233,8.0,,,
Chattogram Challengers,16.0,bpl00234,,,,
Sylhet Thunder,80.0,bpl00235,,,,
Rangpur Rangers,,bpl00236,6.0,,,
Dhaka Platoon,,bpl00237,5.0,,,
Rajshahi Royals,,bpl00238,7.0,,,
Rajshahi Royals,,bpl00239,7.0,,,
Dhaka Platoon,,bpl00240,8.0,,,
Khulna Tigers,52.0,bpl00241,,,,
Chattogram Challengers,,bpl00242,6.0,,,
Rajshahi Royals,15.0,bpl00243,,,,
Khulna Tigers,,bpl00244,8.0,,,
Rangpur Rangers,,bpl00245,7.0,,,
Dhaka Platoon,74.0,bpl00246,,,,
Cumilla Warriors,,bpl00247,2.0,,,
Rangpur Rangers,47.0,bpl00248,,,,
Rajshahi Royals,30.0,bpl00249,,,,
,,bpl00250,,,tie,Cumilla Warriors
Rangpur Rangers,38.0,bpl00251,,,,
Dhaka Platoon,12.0,bpl00252,,,,
Chattogram Challengers,,bpl00253,6.0,,,
Rajshahi Royals,,bpl00254,6.0,,,
Cumilla Warriors,,bpl00255,5.0,,,
Chattogram Challengers,,bpl00256,7.0,,,
Khulna Tigers,34.0,bpl00257,,,,
Dhaka Platoon,61.0,bpl00258,,,,
Rangpur Rangers,11.0,bpl00259,,,,
Khulna Tigers,92.0,bpl00260,,,,
Rajshahi Royals,,bpl00261,8.0,,,
Khulna Tigers,,bpl00262,8.0,,,
Chattogram Challengers,,bpl00263,7.0,,,
Khulna Tigers,27.0,bpl00264,,,,
Rajshahi Royals,,bpl00265,2.0,,,
Rajshahi Royals,21.0,bpl00266,,,,
Khulna Tigers,,bpl00267,5.0,,,
Fortune Barishal,,bpl00268,4.0,,,
Comilla Victorians,,bpl00269,2.0,,,
Chattogram Challengers,30.0,bpl00270,,,,
Minister Group Dhaka,,bpl00271,4.0,,,
Chattogram Challengers,25.0,bpl00272,,,,
Sylhet Sunrisers,,bpl00273,7.0,,,
Comilla Victorians,63.0,bpl00274,,,,
Khulna Tigers,,bpl00275,6.0,,,
Minister Group Dhaka,,bpl00276,9.0,,,
Chattogram Challengers,16.0,bpl00277,,,,
Fortune Barishal,17.0,bpl00278,,,,
Comilla Victorians,52.0,bpl00279,,,,
Fortune Barishal,6.0,bpl00280,,,,
Minister Group Dhaka,50.0,bpl00281,,,,
Fortune Barishal,14.0,bpl00282,,,,
Khulna Tigers,,bpl00283,9.0,,,
Comilla Victorians,,bpl00284,9.0,D/L,,
Fortune Barishal,32.0,bpl00285,,,,
Khulna Tigers,15.0,bpl00286,,,,
Chattogram Challengers,3.0,bpl00287,,,,
Fortune Barishal,12.0,bpl00288,,,,
Comilla Victorians,,bpl00289,4.0,,,
Minister Group Dhaka,,bpl00290,5.0,,,
Fortune Barishal,,bpl00291,8.0,,,
Comilla Victorians,65.0,bpl00292,,,,
Chattogram Challengers,,bpl00293,4.0,,,
Khulna Tigers,,bpl00294,9.0,,,
Chattogram Challengers,7.0,bpl00295,,,,
Fortune Barishal,10.0,bpl00296,,,,
Comilla Victorians,,bpl00297,7.0,,,
Comilla Victorians,1.0,bpl00298,,,,
Sylhet Strikers,,bpl00299,8.0,,,
Rangpur Riders,34.0,bpl00300,,,,
Sylhet Strikers,,bpl00301,6.0,,,
Dhaka Dominators,,bpl00302,6.0,,,
Sylhet Strikers,,bpl00303,5.0,,,
Chattogram Challengers,,bpl00304,9.0,,,
Fortune Barishal,,bpl00305,6.0,,,
Sylhet Strikers,62.0,bpl00306,,,,
Fortune Barishal,26.0,bpl00307,,,,
Rangpur Riders,,bpl00308,4.0,,,
Fortune Barishal,12.0,bpl00309,,,,
Chattogram Challengers,,bpl00310,8.0,,,
Sylhet Strikers,,bpl00311,5.0,,,
Comilla Victorians,,bpl00312,6.0,,,
Khulna Tigers,,bpl00313,9.0,,,
Comilla Victorians,,bpl00314,5.0,,,
Fortune Barishal,67.0,bpl00315,,,,
Comilla Victorians,33.0,bpl00316,,,,
Fortune Barishal,13.0,bpl00317,,,,
Khulna Tigers,,bpl00318,7.0,,,
Rangpur Riders,55.0,bpl00319,,,,
Comilla Victorians,60.0,bpl00320,,,,
Sylhet Strikers,2.0,bpl00321,,,,
Dhaka Dominators,24.0,bpl00322,,,,
Rangpur Riders,,bpl00323,6.0,,,
Fortune Barishal,,bpl00324,3.0,,,
Comilla Victorians,4.0,bpl00325,,,,
Sylhet Strikers,,bpl00326,7.0,,,
Sylhet Strikers,31.0,bpl00327,,,,
Rangpur Riders,,bpl00328,5.0,,,
Dhaka Dominators,,bpl00329,5.0,,,
Comilla Victorians,,bpl00330,7.0,,,
Fortune Barishal,37.0,bpl00331,,,,
Rangpur Riders,,bpl00332,2.0,,,
Comilla Victorians,,bpl00333,6.0,,,
Rangpur Riders,,bpl00334,8.0,,,
Chattogram Challengers,15.0,bpl00335,,,,
Comilla Victorians,,bpl00336,5.0,,,
Sylhet Strikers,,bpl00337,6.0,,,
Rangpur Riders,,bpl00338,7.0,,,
Khulna Tigers,,bpl00339,6.0,,,
Comilla Victorians,70.0,bpl00340,,,,
Comilla Victorians,,bpl00341,4.0,,,
Rangpur Riders,,bpl00342,4.0,,,
Sylhet Strikers,19.0,bpl00343,,,,
Comilla Victorians,,bpl00344,7.0,,,
Durdanto Dhaka,,bpl00345,5.0,,,
Chattogram Challengers,,bpl00346,7.0,,,
Fortune Barishal,,bpl00347,5.0,,,
Khulna Tigers,,bpl00348,4.0,,,
Chattogram Challengers,,bpl00349,6.0,,,
Khulna Tigers,,bpl00350,8.0,,,
Comilla Victorians,,bpl00351,4.0,,,
Khulna Tigers,28.0,bpl00352,,,,
Comilla Victorians,52.0,bpl00353,,,,
Chattogram Challengers,10.0,bpl00354,,,,
Rangpur Riders,79.0,bpl00355,,,,
Chattogram Challengers,,bpl00356,8.0,,,
Khulna Tigers,,bpl00357,10.0,,,
Rangpur Riders,8.0,bpl00358,,,,
Fortune Barishal,49.0,bpl00359,,,,
Sylhet Strikers,15.0,bpl00360,,,,
Comilla Victorians,,bpl00361,7.0,,,
Fortune Barishal,,bpl00362,5.0,,,
Rangpur Riders,77.0,bpl00363,,,,
Rangpur Riders,60.0,bpl00364,,,,
Chattogram Challengers,16.0,bpl00365,,,,
Sylhet Strikers,,bpl00366,5.0,,,
Comilla Victorians,34.0,bpl00367,,,,
Sylhet Strikers,,bpl00368,5.0,,,
Comilla Victorians,,bpl00369,4.0,,,
Rangpur Riders,53.0,bpl00370,,,,
Fortune Barishal,40.0,bpl00371,,,,
Comilla Victorians,73.0,bpl00372,,,,
Rangpur Riders,78.0,bpl00373,,,,
Fortune Barishal,27.0,bpl00374,,,,
Comilla Victorians,,bpl00375,7.0,,,
Khulna Tigers,,bpl00376,5.0,,,
Rangpur Riders,18.0,bpl00377,,,,
Fortune Barishal,18.0,bpl00378,,,,
Chattogram Challengers,10.0,bpl00379,,,,
Sylhet Strikers,12.0,bpl00380,,,,
Rangpur Riders,,bpl00381,1.0,,,
Chattogram Challengers,65.0,bpl00382,,,,
Comilla Victorians,,bpl00383,6.0,,,
Fortune Barishal,,bpl00384,6.0,,,
Sylhet Strikers,,bpl00385,6.0,,,
Fortune Barishal,,bpl00386,7.0,,,
Comilla Victorians,,bpl00387,6.0,,,
Fortune Barishal,,bpl00388,6.0,,,
Fortune Barishal,,bpl00389,6.0,,,
Rangpur Riders,40.0,bpl00390,,,,
Fortune Barishal,,bpl00391,4.0,,,
Khulna Tigers,37.0,bpl00392,,,,
Rangpur Riders,34.0,bpl00393,,,,
Durbar Rajshahi,,bpl00394,7.0,,,
Rangpur Riders,,bpl00395,8.0,,,
Chittagong Kings,105.0,bpl00396,,,,
Khulna Tigers,20.0,bpl00397,,,,
Rangpur Riders,,bpl00398,8.0,,,
Fortune Barishal,,bpl00399,7.0,,,
Rangpur Riders,,bpl00400,7.0,,,
Fortune Barishal,,bpl00401,7.0,,,
