key_id,by_type,by_margin,bowl_out,eliminator,method,result,winner
t20s0001,runs,39.0,,,,,Namibia
t20s0002,runs,44.0,,,,,Australia
t20s0003,runs,100.0,,,,,England
t20s0004,wickets,5.0,,,,,New Zealand
t20s0005,runs,95.0,,,,,Australia
t20s0006,,,New Zealand,,,tie,
t20s0007,runs,2.0,,,,,South Africa
t20s0008,runs,2.0,,,,,Sri Lanka
t20s0009,wickets,5.0,,,,,Pakistan
t20s0010,wickets,6.0,,,,,India
t20s0011,runs,18.0,,,D/L,,Sri Lanka
t20s0012,wickets,5.0,,,,,New Zealand
t20s0013,runs,77.0,,,,,Australia
t20s0014,runs,15.0,,,,,West Indies
t20s0015,wickets,5.0,,,,,England
t20s0016,wickets,5.0,,,,,Bangladesh
t20s0017,runs,30.0,,,,,Pakistan
t20s0018,wickets,8.0,,,,,Pakistan
t20s0019,wickets,8.0,,,,,South Africa
t20s0020,wickets,5.0,,,,,Zimbabwe
t20s0021,runs,51.0,,,,,Pakistan
t20s0022,wickets,9.0,,,,,New Zealand
t20s0023,runs,50.0,,,,,England
t20s0024,wickets,6.0,,,,,Bangladesh
t20s0025,,,India,,,tie,
t20s0026,wickets,8.0,,,,,Australia
t20s0027,runs,172.0,,,,,Sri Lanka
t20s0028,wickets,7.0,,,,,South Africa
t20s0029,wickets,7.0,,,,,Sri Lanka
t20s0030,runs,19.0,,,,,South Africa
t20s0031,wickets,9.0,,,,,Australia
t20s0032,runs,10.0,,,,,New Zealand
t20s0033,runs,33.0,,,,,Pakistan
t20s0034,runs,64.0,,,,,Sri Lanka
t20s0035,wickets,6.0,,,,,Pakistan
t20s0036,runs,5.0,,,,,New Zealand
t20s0037,runs,18.0,,,,,India
t20s0038,wickets,6.0,,,,,South Africa
t20s0039,runs,37.0,,,,,India
t20s0040,wickets,4.0,,,,,Pakistan
t20s0041,wickets,10.0,,,,,Australia
t20s0042,runs,15.0,,,,,India
t20s0043,wickets,6.0,,,,,Pakistan
t20s0044,runs,5.0,,,,,India
t20s0045,wickets,7.0,,,,,India
t20s0046,wickets,3.0,,,,,South Africa
t20s0047,runs,54.0,,,,,Australia
t20s0048,wickets,5.0,,,,,West Indies
t20s0049,wickets,4.0,,,,,South Africa
t20s0050,wickets,9.0,,,,,Australia
t20s0051,runs,32.0,,,,,England
t20s0052,runs,50.0,,,,,England
t20s0053,runs,102.0,,,,,Pakistan
t20s0054,wickets,9.0,,,,,England
t20s0055,wickets,7.0,,,,,West Indies
t20s0056,wickets,8.0,,,,,Scotland
t20s0057,wickets,5.0,,,,,Netherlands
t20s0058,wickets,4.0,,,,,Ireland
t20s0059,wickets,3.0,,,,,Pakistan
t20s0060,wickets,5.0,,,,,Sri Lanka
t20s0061,runs,12.0,,,D/L,,South Africa
t20s0062,,,,West Indies,,tie,
t20s0063,runs,36.0,,,,,New Zealand
t20s0064,runs,52.0,,,,,Australia
t20s0065,wickets,6.0,,,,,Australia
t20s0066,wickets,3.0,,,,,India
t20s0067,runs,1.0,,,,,Australia
t20s0068,wickets,7.0,,,,,New Zealand
t20s0069,wickets,5.0,,,,,New Zealand
t20s0070,wickets,6.0,,,,,West Indies
t20s0071,wickets,4.0,,,,,South Africa
t20s0072,runs,17.0,,,,,South Africa
t20s0073,wickets,7.0,,,,,Pakistan
t20s0074,wickets,4.0,,,,,Netherlands
t20s0075,runs,25.0,,,,,India
t20s0076,wickets,7.0,,,,,West Indies
t20s0077,wickets,7.0,,,,,New Zealand
t20s0078,runs,48.0,,,,,England
t20s0079,runs,130.0,,,,,South Africa
t20s0080,wickets,6.0,,,,,Sri Lanka
t20s0081,wickets,6.0,,,,,Ireland
t20s0082,runs,1.0,,,,,South Africa
t20s0083,runs,82.0,,,,,Pakistan
t20s0084,runs,15.0,,,,,Sri Lanka
t20s0085,wickets,8.0,,,,,India
t20s0086,wickets,7.0,,,,,South Africa
t20s0087,runs,83.0,,,,,New Zealand
t20s0088,wickets,7.0,,,,,West Indies
t20s0089,runs,19.0,,,,,Sri Lanka
t20s0090,wickets,6.0,,,,,Pakistan
t20s0091,runs,20.0,,,,,South Africa
t20s0092,runs,3.0,,,,,England
t20s0093,runs,9.0,,,,,Sri Lanka
t20s0094,runs,39.0,,,,,Pakistan
t20s0095,wickets,5.0,,,D/L,,West Indies
t20s0096,runs,12.0,,,,,South Africa
t20s0097,runs,48.0,,,,,Sri Lanka
t20s0098,runs,7.0,,,,,Pakistan
t20s0099,runs,52.0,,,,,New Zealand
t20s0100,runs,57.0,,,,,Sri Lanka
t20s0101,wickets,8.0,,,,,England
t20s0102,wickets,8.0,,,,,Pakistan
t20s0103,runs,34.0,,,,,Australia
t20s0104,wickets,5.0,,,,,West Indies
t20s0105,runs,52.0,,,,,Pakistan
t20s0106,,,,,,no result,
t20s0107,runs,3.0,,,,,New Zealand
t20s0108,runs,22.0,,,,,New Zealand
t20s0109,runs,2.0,,,,,West Indies
t20s0110,runs,49.0,,,,,Pakistan
t20s0111,runs,7.0,,,,,Pakistan
t20s0112,runs,1.0,,,D/L,,England
t20s0113,runs,84.0,,,,,South Africa
t20s0114,runs,29.0,,,,,Sri Lanka
t20s0115,wickets,6.0,,,,,India
t20s0116,wickets,10.0,,,,,New Zealand
t20s0117,runs,2.0,,,,,Australia
t20s0118,wickets,6.0,,,,,Netherlands
t20s0119,runs,13.0,,,,,Afghanistan
t20s0120,wickets,9.0,,,,,Kenya
t20s0121,runs,37.0,,,,,Ireland
t20s0122,wickets,4.0,,,,,Netherlands
t20s0123,wickets,8.0,,,,,Afghanistan
t20s0124,runs,65.0,,,,,Ireland
t20s0125,wickets,7.0,,,,,England
t20s0126,wickets,4.0,,,,,Pakistan
t20s0127,runs,38.0,,,,,Australia
t20s0128,wickets,8.0,,,,,Australia
t20s0129,wickets,6.0,,,,,Australia
t20s0130,runs,26.0,,,,,Zimbabwe
t20s0131,,,,New Zealand,,tie,
t20s0132,wickets,2.0,,,,,New Zealand
t20s0133,runs,70.0,,,,,West Indies
t20s0134,runs,21.0,,,,,Pakistan
t20s0135,wickets,7.0,,,,,India
t20s0136,runs,34.0,,,,,Australia
t20s0137,runs,14.0,,,,,India
t20s0138,runs,14.0,,,D/L,,Sri Lanka
t20s0139,wickets,8.0,,,D/L,,West Indies
t20s0140,runs,7.0,,,D/L,,New Zealand
t20s0141,,,,,,no result,
t20s0142,runs,27.0,,,,,Australia
t20s0143,runs,59.0,,,,,South Africa
t20s0144,runs,13.0,,,,,South Africa
t20s0145,wickets,6.0,,,,,England
t20s0146,runs,57.0,,,,,Sri Lanka
t20s0147,runs,49.0,,,,,Australia
t20s0148,runs,39.0,,,,,England
t20s0149,runs,1.0,,,,,New Zealand
t20s0150,runs,81.0,,,,,Australia
t20s0151,runs,14.0,,,,,West Indies
t20s0152,wickets,3.0,,,,,England
t20s0153,runs,11.0,,,,,Pakistan
t20s0154,wickets,6.0,,,,,Australia
t20s0155,wickets,5.0,,,,,Sri Lanka
t20s0156,wickets,7.0,,,,,Australia
t20s0157,wickets,7.0,,,,,England
t20s0158,runs,56.0,,,,,New Zealand
t20s0159,wickets,3.0,,,,,Australia
t20s0160,runs,3.0,,,,,Australia
t20s0161,wickets,7.0,,,,,England
t20s0162,runs,13.0,,,,,South Africa
t20s0163,runs,1.0,,,,,South Africa
t20s0164,runs,28.0,,,,,New Zealand
t20s0165,wickets,7.0,,,,,Sri Lanka
t20s0166,wickets,6.0,,,,,India
t20s0167,wickets,7.0,,,,,India
t20s0168,runs,23.0,,,,,Pakistan
t20s0169,runs,11.0,,,,,Pakistan
t20s0170,wickets,5.0,,,,,England
t20s0171,wickets,6.0,,,,,England
t20s0172,wickets,7.0,,,,,South Africa
t20s0173,runs,8.0,,,,,South Africa
t20s0174,wickets,6.0,,,,,South Africa
t20s0175,wickets,6.0,,,,,South Africa
t20s0176,wickets,7.0,,,,,Sri Lanka
t20s0177,wickets,5.0,,,,,New Zealand
t20s0178,runs,39.0,,,,,New Zealand
t20s0179,wickets,4.0,,,,,Australia
t20s0180,runs,103.0,,,,,Pakistan
t20s0181,runs,21.0,,,,,India
t20s0182,wickets,1.0,,,,,England
t20s0183,runs,4.0,,,,,Australia
t20s0184,runs,7.0,,,,,West Indies
t20s0185,runs,16.0,,,,,India
t20s0186,wickets,9.0,,,,,Sri Lanka
t20s0187,runs,46.0,,,,,England
t20s0188,runs,35.0,,,,,Sri Lanka
t20s0189,runs,8.0,,,,,Sri Lanka
t20s0190,wickets,6.0,,,,,England
t20s0191,runs,85.0,,,,,Pakistan
t20s0192,runs,5.0,,,,,Pakistan
t20s0193,wickets,10.0,,,,,England
t20s0194,runs,25.0,,,,,West Indies
t20s0195,wickets,3.0,,,,,Bangladesh
t20s0196,wickets,5.0,,,,,Australia
t20s0197,wickets,10.0,,,,,New Zealand
t20s0198,wickets,3.0,,,,,South Africa
t20s0199,runs,34.0,,,D/L,,New Zealand
t20s0200,,,,,,no result,
t20s0201,wickets,6.0,,,,,England
t20s0202,wickets,5.0,,,,,Pakistan
t20s0203,runs,50.0,,,,,Pakistan
t20s0204,runs,31.0,,,,,Australia
t20s0205,wickets,8.0,,,,,India
t20s0206,wickets,7.0,,,,,New Zealand
t20s0207,wickets,5.0,,,,,New Zealand
t20s0208,wickets,6.0,,,,,England
t20s0209,wickets,6.0,,,,,New Zealand
t20s0210,runs,48.0,,,,,England
t20s0211,wickets,8.0,,,,,South Africa
t20s0212,wickets,6.0,,,,,Ireland
t20s0213,runs,10.0,,,D/L,,England
t20s0214,runs,3.0,,,,,South Africa
t20s0215,wickets,8.0,,,,,Ireland
t20s0216,runs,8.0,,,,,Pakistan
t20s0217,runs,2.0,,,,,Ireland
t20s0218,runs,38.0,,,,,England
t20s0219,runs,5.0,,,,,England
t20s0220,runs,42.0,,,,,Netherlands
t20s0221,wickets,4.0,,,,,Afghanistan
t20s0222,wickets,10.0,,,,,Ireland
t20s0223,runs,41.0,,,,,Afghanistan
t20s0224,runs,17.0,,,,,Ireland
t20s0225,wickets,10.0,,,,,Ireland
t20s0226,wickets,4.0,,,,,Scotland
t20s0227,wickets,7.0,,,,,Ireland
t20s0228,wickets,5.0,,,,,Ireland
t20s0229,wickets,8.0,,,,,Australia
t20s0230,runs,11.0,,,D/L,,South Africa
t20s0231,runs,14.0,,,,,West Indies
t20s0232,runs,37.0,,,,,Sri Lanka
t20s0233,runs,23.0,,,,,Pakistan
t20s0234,wickets,7.0,,,,,England
t20s0235,runs,33.0,,,,,England
t20s0236,wickets,8.0,,,,,England
t20s0237,runs,56.0,,,,,West Indies
t20s0238,runs,61.0,,,,,West Indies
t20s0239,runs,71.0,,,,,Bangladesh
t20s0240,wickets,8.0,,,,,Bangladesh
t20s0241,wickets,1.0,,,,,Netherlands
t20s0242,runs,39.0,,,,,India
t20s0243,wickets,7.0,,,,,England
t20s0244,wickets,7.0,,,,,Pakistan
t20s0245,runs,81.0,,,,,England
t20s0246,,,,Pakistan,,tie,
t20s0247,wickets,8.0,,,,,England
t20s0248,wickets,7.0,,,,,South Africa
t20s0249,runs,94.0,,,,,Australia
t20s0250,runs,28.0,,,,,England
t20s0251,,,,,,no result,
t20s0252,runs,1.0,,,,,New Zealand
t20s0253,runs,28.0,,,,,England
t20s0254,runs,10.0,,,,,England
t20s0255,runs,84.0,,,,,England
t20s0256,wickets,3.0,,,,,West Indies
t20s0257,runs,82.0,,,,,Sri Lanka
t20s0258,runs,23.0,,,,,India
t20s0259,wickets,7.0,,,,,Australia
t20s0260,wickets,10.0,,,,,South Africa
t20s0261,runs,116.0,,,,,England
t20s0262,runs,59.0,,,,,New Zealand
t20s0263,runs,17.0,,,D/L,,Australia
t20s0264,runs,32.0,,,,,South Africa
t20s0265,runs,90.0,,,,,India
t20s0266,runs,13.0,,,,,Pakistan
t20s0267,,,,,,no result,
t20s0268,wickets,8.0,,,,,Pakistan
t20s0269,wickets,7.0,,,,,West Indies
t20s0270,wickets,6.0,,,,,South Africa
t20s0271,wickets,8.0,,,,,Australia
t20s0272,runs,43.0,,,,,England
t20s0273,runs,15.0,,,,,West Indies
t20s0274,,,,Sri Lanka,,tie,
t20s0275,runs,5.0,,,D/L,,Sri Lanka
t20s0276,runs,22.0,,,,,New Zealand
t20s0277,wickets,9.0,,,,,Australia
t20s0278,wickets,2.0,,,,,Pakistan
t20s0279,wickets,9.0,,,,,England
t20s0280,runs,25.0,,,D/L,,Australia
t20s0281,wickets,9.0,,,,,Sri Lanka
t20s0282,wickets,6.0,,,,,England
t20s0283,wickets,8.0,,,,,New Zealand
t20s0284,wickets,10.0,,,,,West Indies
t20s0285,wickets,8.0,,,,,India
t20s0286,wickets,8.0,,,,,Australia
t20s0287,wickets,7.0,,,,,England
t20s0288,runs,1.0,,,,,Pakistan
t20s0289,runs,19.0,,,,,Sri Lanka
t20s0290,,,,West Indies,,tie,
t20s0291,runs,1.0,,,,,India
t20s0292,runs,32.0,,,,,Pakistan
t20s0293,wickets,9.0,,,,,India
t20s0294,wickets,7.0,,,,,England
t20s0295,runs,16.0,,,,,Sri Lanka
t20s0296,runs,28.0,,,,,Australia
t20s0297,runs,74.0,,,,,West Indies
t20s0298,runs,4.0,,,,,Australia
t20s0299,runs,36.0,,,,,West Indies
t20s0300,wickets,8.0,,,,,India
t20s0301,runs,5.0,,,,,Bangladesh
t20s0302,wickets,6.0,,,,,Pakistan
t20s0303,,,,,,no result,
t20s0304,runs,18.0,,,,,India
t20s0305,runs,18.0,,,,,West Indies
t20s0306,wickets,5.0,,,,,India
t20s0307,wickets,8.0,,,,,South Africa
t20s0308,wickets,6.0,,,,,England
t20s0309,wickets,8.0,,,D/L,,New Zealand
t20s0310,wickets,5.0,,,,,Pakistan
t20s0311,runs,33.0,,,,,South Africa
t20s0312,runs,11.0,,,,,India
t20s0313,wickets,8.0,,,,,West Indies
t20s0314,wickets,6.0,,,,,West Indies
t20s0315,wickets,5.0,,,,,Sri Lanka
t20s0316,runs,2.0,,,D/L,,Sri Lanka
t20s0317,runs,40.0,,,,,England
t20s0318,runs,55.0,,,,,New Zealand
t20s0319,runs,27.0,,,,,West Indies
t20s0320,wickets,10.0,,,,,England
t20s0321,wickets,8.0,,,,,West Indies
t20s0322,wickets,6.0,,,,,West Indies
t20s0323,runs,41.0,,,,,West Indies
t20s0324,runs,27.0,,,,,Afghanistan
t20s0325,runs,95.0,,,,,Pakistan
t20s0326,wickets,7.0,,,,,Afghanistan
t20s0327,runs,34.0,,,,,West Indies
t20s0328,runs,7.0,,,,,West Indies
t20s0329,wickets,5.0,,,,,Canada
t20s0330,runs,21.0,,,,,Kenya
t20s0331,runs,17.0,,,,,Sri Lanka
t20s0332,wickets,5.0,,,,,Kenya
t20s0333,wickets,7.0,,,,,Kenya
t20s0334,runs,6.0,,,,,Zimbabwe
t20s0335,runs,34.0,,,,,Bangladesh
t20s0336,runs,5.0,,,,,New Zealand
t20s0337,,,,,,no result,
t20s0338,runs,1.0,,,,,Pakistan
t20s0339,runs,70.0,,,,,England
t20s0340,runs,38.0,,,,,Pakistan
t20s0341,wickets,2.0,,,,,Pakistan
t20s0342,runs,11.0,,,,,Pakistan
t20s0343,wickets,9.0,,,,,Pakistan
t20s0344,,,,,,no result,
t20s0345,runs,12.0,,,,,South Africa
t20s0346,runs,22.0,,,,,South Africa
t20s0347,wickets,6.0,,,,,Sri Lanka
t20s0348,runs,25.0,,,,,Pakistan
t20s0349,runs,19.0,,,,,Pakistan
t20s0350,runs,15.0,,,,,England
t20s0351,wickets,5.0,,,,,England
t20s0352,runs,39.0,,,,,Australia
t20s0353,wickets,7.0,,,,,England
t20s0354,runs,27.0,,,,,England
t20s0355,wickets,9.0,,,,,South Africa
t20s0356,runs,3.0,,,,,South Africa
t20s0357,runs,106.0,,,,,Afghanistan
t20s0358,wickets,6.0,,,,,India
t20s0359,runs,34.0,,,,,Kenya
t20s0360,wickets,7.0,,,,,South Africa
t20s0361,runs,20.0,,,,,Sri Lanka
t20s0362,wickets,5.0,,,,,South Africa
t20s0363,runs,15.0,,,,,New Zealand
t20s0364,wickets,9.0,,,,,South Africa
t20s0365,wickets,7.0,,,,,Netherlands
t20s0366,runs,6.0,,,,,South Africa
t20s0367,runs,17.0,,,,,Afghanistan
t20s0368,runs,2.0,,,,,Ireland
t20s0369,runs,92.0,,,,,Kenya
t20s0370,runs,4.0,,,D/L,,South Africa
t20s0371,wickets,8.0,,,,,Sri Lanka
t20s0372,runs,6.0,,,,,Pakistan
t20s0373,runs,15.0,,,,,Scotland
t20s0374,runs,29.0,,,,,Netherlands
t20s0375,runs,34.0,,,,,Afghanistan
t20s0376,runs,21.0,,,,,Kenya
t20s0377,wickets,8.0,,,,,Netherlands
t20s0378,runs,68.0,,,,,Ireland
t20s0379,wickets,6.0,,,,,Pakistan
t20s0380,wickets,3.0,,,,,Pakistan
t20s0381,runs,24.0,,,,,Sri Lanka
t20s0382,runs,81.0,,,,,New Zealand
t20s0383,wickets,4.0,,,,,New Zealand
t20s0384,wickets,6.0,,,,,Ireland
t20s0385,wickets,6.0,,,,,Pakistan
t20s0386,runs,46.0,,,,,South Africa
t20s0387,wickets,7.0,,,,,Pakistan
t20s0388,runs,13.0,,,,,Australia
t20s0389,wickets,7.0,,,,,Australia
t20s0390,wickets,8.0,,,,,Australia
t20s0391,wickets,7.0,,,,,Australia
t20s0392,runs,84.0,,,,,Australia
t20s0393,runs,2.0,,,,,Sri Lanka
t20s0394,wickets,3.0,,,,,Sri Lanka
t20s0395,wickets,6.0,,,,,Ireland
t20s0396,runs,11.0,,,,,West Indies
t20s0397,runs,27.0,,,,,West Indies
t20s0398,wickets,5.0,,,,,West Indies
t20s0399,wickets,5.0,,,,,Australia
t20s0400,runs,5.0,,,,,England
t20s0401,wickets,6.0,,,,,Australia
t20s0402,runs,80.0,,,,,Nepal
t20s0403,wickets,9.0,,,,,Bangladesh
t20s0404,wickets,6.0,,,,,Netherlands
t20s0405,wickets,3.0,,,,,Ireland
t20s0406,wickets,8.0,,,,,Bangladesh
t20s0407,wickets,7.0,,,,,Afghanistan
t20s0408,runs,21.0,,,D/L,,Ireland
t20s0409,wickets,5.0,,,,,Zimbabwe
t20s0410,wickets,2.0,,,,,Hong Kong
t20s0411,runs,9.0,,,,,Nepal
t20s0412,wickets,7.0,,,,,India
t20s0413,wickets,6.0,,,,,Netherlands
t20s0414,wickets,5.0,,,,,Zimbabwe
t20s0415,runs,9.0,,,D/L,,New Zealand
t20s0416,runs,5.0,,,,,Sri Lanka
t20s0417,runs,7.0,,,,,New Zealand
t20s0418,wickets,7.0,,,,,India
t20s0419,runs,16.0,,,,,Pakistan
t20s0420,runs,22.0,,,,,Sri Lanka
t20s0421,runs,9.0,,,,,West Indies
t20s0422,wickets,9.0,,,,,Sri Lanka
t20s0423,runs,2.0,,,,,South Africa
t20s0424,runs,42.0,,,,,New Zealand
t20s0425,runs,73.0,,,,,West Indies
t20s0426,wickets,5.0,,,,,England
t20s0427,runs,36.0,,,,,West Indies
t20s0428,runs,59.0,,,,,New Zealand
t20s0429,wickets,6.0,,,,,England
t20s0430,runs,6.0,,,,,South Africa
t20s0431,wickets,8.0,,,,,West Indies
t20s0432,wickets,8.0,,,,,India
t20s0433,wickets,6.0,,,,,West Indies
t20s0434,runs,94.0,,,,,Australia
t20s0435,runs,86.0,,,,,South Africa
t20s0436,runs,3.0,,,,,South Africa
t20s0437,wickets,6.0,,,,,New Zealand
t20s0438,wickets,7.0,,,,,England
t20s0439,runs,79.0,,,,,India
t20s0440,runs,73.0,,,,,India
t20s0441,runs,50.0,,,,,Pakistan
t20s0442,wickets,5.0,,,,,South Africa
t20s0443,runs,14.0,,,,,Pakistan
t20s0444,runs,59.0,,,,,Sri Lanka
t20s0445,runs,45.0,,,,,Netherlands
t20s0446,wickets,9.0,,,,,India
t20s0447,runs,3.0,,,,,Bangladesh
t20s0448,runs,84.0,,,,,West Indies
t20s0449,wickets,7.0,,,,,Australia
t20s0450,runs,6.0,,,,,India
t20s0451,wickets,6.0,,,,,New Zealand
t20s0452,runs,17.0,,,,,Bangladesh
t20s0453,runs,14.0,,,,,Pakistan
t20s0454,runs,8.0,,,,,Australia
t20s0455,runs,27.0,,,D/L,,Sri Lanka
t20s0456,wickets,9.0,,,,,England
t20s0457,wickets,6.0,,,,,India
t20s0458,wickets,6.0,,,,,Australia
t20s0459,wickets,6.0,,,,,Sri Lanka
t20s0460,runs,9.0,,,,,Sri Lanka
t20s0461,runs,12.0,,,D/L,,New Zealand
t20s0462,runs,39.0,,,,,West Indies
t20s0463,,,,,,no result,
t20s0464,wickets,9.0,,,,,Australia
t20s0465,runs,63.0,,,,,Australia
t20s0466,wickets,9.0,,,,,England
t20s0467,wickets,8.0,,,,,Australia
t20s0468,runs,42.0,,,,,England
t20s0469,runs,20.0,,,,,Australia
t20s0470,runs,8.0,,,,,England
t20s0471,runs,3.0,,,,,England
t20s0472,wickets,6.0,,,,,Australia
t20s0473,runs,7.0,,,,,Sri Lanka
t20s0474,wickets,7.0,,,,,South Africa
t20s0475,wickets,9.0,,,,,South Africa
t20s0476,wickets,4.0,,,,,Australia
t20s0477,wickets,7.0,,,,,South Africa
t20s0478,wickets,4.0,,,,,Australia
t20s0479,wickets,7.0,,,,,Australia
t20s0480,wickets,2.0,,,,,Australia
t20s0481,wickets,2.0,,,,,Hong Kong
t20s0482,wickets,7.0,,,,,Pakistan
t20s0483,runs,17.0,,,,,New Zealand
t20s0484,wickets,4.0,,,,,West Indies
t20s0485,wickets,4.0,,,,,West Indies
t20s0486,runs,69.0,,,,,South Africa
t20s0487,runs,55.0,,,,,Pakistan
t20s0488,wickets,5.0,,,,,Sri Lanka
t20s0489,wickets,5.0,,,,,Pakistan
t20s0490,wickets,6.0,,,,,Pakistan
t20s0491,wickets,7.0,,,,,South Africa
t20s0492,wickets,7.0,,,,,Bangladesh
t20s0493,wickets,5.0,,,,,Pakistan
t20s0494,runs,5.0,,,D/L,,Sri Lanka
t20s0495,wickets,2.0,,,,,Pakistan
t20s0496,wickets,8.0,,,,,West Indies
t20s0497,wickets,9.0,,,,,West Indies
t20s0498,wickets,6.0,,,,,Scotland
t20s0499,runs,56.0,,,,,England
t20s0500,runs,103.0,,,,,Netherlands
t20s0501,runs,18.0,,,,,Netherlands
t20s0502,runs,52.0,,,,,South Africa
t20s0503,runs,31.0,,,,,South Africa
t20s0504,runs,32.0,,,,,Afghanistan
t20s0505,wickets,9.0,,,,,Scotland
t20s0506,wickets,8.0,,,,,Afghanistan
t20s0507,runs,32.0,,,,,Netherlands
t20s0508,runs,37.0,,,,,Afghanistan
t20s0509,wickets,7.0,,,,,Netherlands
t20s0510,wickets,8.0,,,,,Ireland
t20s0511,wickets,5.0,,,,,Hong Kong
t20s0512,wickets,2.0,,,,,Papua New Guinea
t20s0513,runs,54.0,,,,,India
t20s0514,runs,5.0,,,,,Hong Kong
t20s0515,wickets,8.0,,,,,Papua New Guinea
t20s0516,runs,10.0,,,,,Zimbabwe
t20s0517,wickets,5.0,,,,,Hong Kong
t20s0518,wickets,6.0,,,,,Afghanistan
t20s0519,wickets,5.0,,,,,Netherlands
t20s0520,wickets,5.0,,,,,Afghanistan
t20s0521,wickets,5.0,,,,,Scotland
t20s0522,runs,29.0,,,,,Pakistan
t20s0523,wickets,1.0,,,,,Pakistan
t20s0524,runs,80.0,,,,,New Zealand
t20s0525,wickets,6.0,,,,,South Africa
t20s0526,runs,32.0,,,,,New Zealand
t20s0527,runs,25.0,,,,,Australia
t20s0528,runs,55.0,,,,,Australia
t20s0529,runs,99.0,,,,,Australia
t20s0530,wickets,7.0,,,,,England
t20s0531,runs,20.0,,,,,Australia
t20s0532,wickets,5.0,,,,,England
t20s0533,runs,5.0,,,,,England
t20s0534,runs,13.0,,,,,Pakistan
t20s0535,runs,15.0,,,,,Pakistan
t20s0536,runs,29.0,,,,,Pakistan
t20s0537,runs,34.0,,,,,Pakistan
t20s0538,wickets,7.0,,,,,South Africa
t20s0539,wickets,6.0,,,,,South Africa
t20s0540,wickets,6.0,,,,,Afghanistan
t20s0541,wickets,5.0,,,,,Afghanistan
t20s0542,wickets,8.0,,,,,West Indies
t20s0543,runs,30.0,,,,,Sri Lanka
t20s0544,runs,23.0,,,,,West Indies
t20s0545,wickets,4.0,,,,,Bangladesh
t20s0546,wickets,3.0,,,,,Zimbabwe
t20s0547,wickets,6.0,,,,,Oman
t20s0548,wickets,7.0,,,,,United Arab Emirates
t20s0549,runs,4.0,,,,,Oman
t20s0550,wickets,8.0,,,,,Hong Kong
t20s0551,runs,14.0,,,,,England
t20s0552,runs,3.0,,,,,England
t20s0553,runs,12.0,,,,,Afghanistan
t20s0554,,,,England,,tie,
